2017Apr09-22:46:03:510 | INFO  | Creating new RCInput object
2017Apr09-22:46:04:189 | INFO  | Creating new OrientationInput object
2017Apr09-22:46:04:194 | INFO  | Successfully initialized orientation subsystem
2017Apr09-22:46:04:195 | INFO  | Successfully configured RC input
2017Apr09-22:46:04:199 | INFO  | GPS subsystem started
2017Apr09-22:46:04:199 | INFO  | Initializing ADC subsystem
2017Apr09-22:46:11:911 | INFO  | AIO REST subsystem started
2017Apr09-22:46:11:912 | INFO  | Loading KML file /home/debian/hackerboat/embedded_software/unified/test_data/waypoint/2017Mar25.kml
2017Apr09-22:46:11:912 | INFO  | Found start of Placemark on line:10[			<Placemark>]
2017Apr09-22:46:11:912 | INFO  | Found name on line:11[				<name>Waypoints</name>]
2017Apr09-22:46:11:913 | INFO  | Found start of line string on line: 14[				<LineString>]
2017Apr09-22:46:11:916 | INFO  | ,CSV,RecordTime,CurrentWaypoint,WaypointStrength,/*LastContactTime,LastRCTime,*/Lat,Lon,Track,Speed,FixValid,StopButtonState,ArmButtonState,ServoEnableState,ThrottlePosition,RudderCommand,CurrentHeading,ThrottleInput,CourseInput,RCFailSafe,RCMode,RawMotorCurrent,RawBatteryVoltage
2017Apr09-22:46:11:925 | INFO  | Entering self test from start mode
2017Apr09-22:46:14:613 | ERROR | Failed to parse command []
2017Apr09-22:46:14:845 | INFO  | Orientation after getAccelOrientation: {"pitch": -6, "heading": 22, "roll": 3}
2017Apr09-22:46:14:846 | INFO  | Orientation after getMagOrientation: {"pitch": -6, "heading": 21, "roll": 3}
2017Apr09-22:46:15:989 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:46:15:991 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:46:15:992 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:46:15:992 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:46:15:993 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:46:15:993 | INFO  | Executing command {"command": "SetMode", "argument": {"mode": "Disarmed"}}
2017Apr09-22:46:15:994 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:46:15:994 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:46:15:995 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:46:15:996 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:46:15:996 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Return"}}
2017Apr09-22:46:15:996 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Return"}}
2017Apr09-22:46:15:997 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Waypoint"}}
2017Apr09-22:46:15:997 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Return"}}
2017Apr09-22:46:15:998 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
2017Apr09-22:46:16:005 | INFO  | Executing command {"command": "SetAutoMode", "argument": {"mode": "Anchor"}}
